Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Jan Kovačević,M,B,Raw,,20-23,19-23,Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Eugen Čaušević,M,SBD,Raw,21,20-23,19-23,Open,70.1,74,150,160,170,,170,85,92.5,-95,,92.5,215,230,-235,,230,492.5,6,369.58,368.67,357.26,74.37,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Leonora Kuqi,F,SBD,Raw,,20-23,19-23,Open,61.5,63,115,-122.5,-122.5,,115,50,55,-57.5,,55,135,147.5,-160,,147.5,317.5,6,346.57,347.30,306.76,70.57,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Melanija Pomper,F,SBD,Raw,30,24-34,24-39,Open,73.9,76,130,137.5,145,,145,82.5,90,95,,95,177.5,187.5,192.5,,192.5,432.5,1,424.57,415.02,365.27,86.43,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Aleksandra Stjepanović,F,SBD,Raw,,,40-49,Masters 1,49.6,52,90,95,97.5,,97.5,50,-55,-55,,50,115,122.5,-127.5,,122.5,270,2,340.26,348.96,309.99,71.10,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Klara Mendaš,F,SBD,Raw,25,24-34,24-39,Open,59.8,63,130,137.5,140,,140,67.5,72.5,75,,75,140,147.5,152.5,,152.5,367.5,3,408.25,410.78,362.96,83.26,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Daniel Škreblin,M,B,Raw,19.5,20-23,19-23,Juniors,,,,,,,,,,,,,,,,,,,NS,,,,,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Aleksandar Novak,M,SBD,Raw,28,24-34,24-39,Open,132.4,120+,-200,210,217.5,,217.5,140,147.5,-152.5,,147.5,230,242.5,252.5,,252.5,617.5,6,343.88,348.14,332.19,68.85,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Josip Mihaljević,M,SBD,Raw,,,,Open,159,120+,300,-325.5,-325.5,,300,155,-165,-165,,155,250,-272.5,-272.5,,250,705,2,373.31,386.84,363.31,73.23,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Dario Kuvačić,M,SBD,Raw,30,24-34,24-39,Open,93.4,105,200,-215,220,,220,150,-157.5,-157.5,,150,260,-272.5,-272.5,,260,630,8,400.01,394.96,377.95,82.25,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Jakov Mršo,M,B,Raw,20.5,20-23,19-23,Juniors,100.5,105,,,,,,120,125,-130,,125,,,,,,125,3,76.77,75.92,72.51,57.13,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Nikola Gamulin,M,B,Single-ply,,20-23,19-23,Juniors,89.4,93,,,,,,152.5,161,-175,,161,,,,,,161,1,104.46,103.13,98.87,54.54,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Patrik Kušević,M,SBD,Raw,26,24-34,24-39,Open,82.2,83,215,225,232.5,,232.5,142.5,-150,-150,,142.5,242.5,252.5,260,,260,635,5,431.03,426.32,410.27,88.33,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Lovro Leleković,M,SBD,Raw,27,24-34,24-39,Open,127.9,120+,-230,230,-242.5,,230,140,150,152.5,,152.5,245,255,260,,260,642.5,5,361.55,364.49,348.50,72.68,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Oliver Ozvačić,M,SBD,Raw,,,,Open,102.1,105,250,265,-275,,265,185,195,200,,200,255,287.5,297.5,,297.5,762.5,4,465.19,460.31,439.55,95.38,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Luka Turković,M,SBD,Raw,25,24-34,24-39,Open,81.8,83,210,217.5,-225,,217.5,120,125,130,,130,210,215,217.5,,217.5,565,8,384.59,380.45,366.21,78.79,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Miloš Mrmoš,M,SBD,Raw,25,24-34,24-39,Open,91.9,93,205,215,-222.5,,215,135,140,-145,,140,-240,255,-265,,255,610,6,390.36,385.39,369.04,80.27,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
Josip Jureta,M,B,Raw,27,24-34,24-39,Open,118,120,,,,,,165,172.5,-180,,172.5,,,,,,172.5,3,99.63,99.57,95.39,73.30,Yes,Croatia,,HPLS,IPF,2025-12-18,Croatia,,Zagreb,14. Državno prvenstvo u powerliftingu i bench pressu,Yes
